ts_code,trade_date,total_mv
000609.SZ,20020104,157083.3798
000040.SZ,20020104,316975.5207
600508.SH,20020104,522364.51
600117.SH,20020104,352825.32
000050.SZ,20020104,216282.33
600110.SH,20020104,198432.4088
600737.SH,20020104,832841.2996
000885.SZ,20020104,198720.0
000905.SZ,20020104,244260.0
